№;COBID;ящик;Состояние COBID;Столбец2;Столбец3;Столбец4;;;;;;;
352;969;ОРН5-8.4;Свободен;;;;;;;;;;
353;968;ОРН5-8.4;Свободен;;;;;;;;;;
354;967;ОРН5-8.4;Свободен;;;;;;;;;;
355;966;ОРН5-8.4;Свободен;;;;;;;;;;
356;965;ОРН5-8.4;Свободен;;;;;;;;;;
357;964;ОРН5-8.4;Свободен;;;;;;;;;;
358;963;ОРН5-8.4;Свободен;;;;;;;;;;
359;962;ОРН5-8.4;Свободен;;;;;;;;;;
360;961;ОРН5-8.4;Свободен;;;;;;;;;;
361;960;ОРН5-8.4;Свободен;;;;;;;;;;
362;959;ОРН5-9.1;Свободен;;;;;;;;;;
363;958;ОРН5-9.1;Свободен;;;;;;;;;;
364;957;ОРН5-9.1;Свободен;;;;;;;;;;
365;956;ОРН5-9.1;Свободен;;;;;;;;;;
366;955;ОРН5-9.1;Свободен;;;;;;;;;;
367;954;ОРН5-9.1;Свободен;;;;;;;;;;
368;953;ОРН5-9.1;Свободен;;;;;;;;;;
369;952;ОРН5-9.1;Свободен;;;;;;;;;;
370;951;ОРН5-9.1;Свободен;;;;;;;;;;
371;950;ОРН5-9.1;Свободен;;;;;;;;;;
372;949;ОРН5-9.1;Свободен;;;;;;;;;;
373;948;ОРН5-9.1;Свободен;;;;;;;;;;
374;947;ОРН5-9.1;Свободен;;;;;;;;;;
375;946;ОРН5-9.1;Свободен;;;;;;;;;;
376;945;ОРН5-9.1;Свободен;;;;;;;;;;
377;944;ОРН5-9.1;Свободен;;;;;;;;;;
378;943;ОРН5-9.1;Свободен;;;;;;;;;;
379;942;ОРН5-9.1;Свободен;;;;;;;;;;
380;941;ОРН5-9.1;Свободен;;;;;;;;;;
381;940;ОРН5-9.1;Свободен;;;;;;;;;;
382;939;ОРН5-10.2;Свободен;;;;;;;;;;
383;938;ОРН5-10.2;Свободен;;;;;;;;;;
384;937;ОРН5-10.2;Свободен;;;;;;;;;;
385;936;ОРН5-10.2;Свободен;;;;;;;;;;
386;935;ОРН5-10.2;Свободен;;;;;;;;;;
387;934;ОРН5-10.2;Свободен;;;;;;;;;;
388;933;ОРН5-10.2;Свободен;;;;;;;;;;
389;932;ОРН5-10.2;Свободен;;;;;;;;;;
390;931;ОРН5-10.2;Свободен;;;;;;;;;;
391;930;ОРН5-10.2;Свободен;;;;;;;;;;
392;929;ОРН5-10.2;Свободен;;;;;;;;;;
393;928;ОРН5-10.2;Свободен;;;;;;;;;;
394;927;ОРН5-10.2;Свободен;;;;;;;;;;
395;926;ОРН5-10.2;Свободен;;;;;;;;;;
396;925;ОРН5-10.2;Свободен;;;;;;;;;;
397;924;ОРН5-10.2;Свободен;;;;;;;;;;
