;BI23_3SS1_DK14_dT;Сработка 3СС1-ДК14 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK14_f;Сработка 3СС1-ДК14 дым в Кубрике №1 15%
;BI23_3SS1_DT14_T1;Сработка 3СС1-ДТ14 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT14_T2;Сработка 3СС1-ДТ14 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT14_dT;Сработка 3СС1-ДТ14 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT15_T1;Сработка 3СС1-ДТ15 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT15_T2;Сработка 3СС1-ДТ15 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT15_dT;Сработка 3СС1-ДТ15 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT16_T1;Сработка 3СС1-ДТ16 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT16_T2;Сработка 3СС1-ДТ16 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT16_dT;Сработка 3СС1-ДТ16 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT17_T1;Сработка 3СС1-ДТ17 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT17_T2;Сработка 3СС1-ДТ17 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT17_dT;Сработка 3СС1-ДТ17 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT18_T1;Сработка 3СС1-ДТ18 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT18_T2;Сработка 3СС1-ДТ18 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT18_dT;Сработка 3СС1-ДТ18 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT19_T1;Сработка 3СС1-ДТ19 температура в Кубрике №1 30 гр.Ц.
;BI23_3SS1_DT19_T2;Сработка 3СС1-ДТ19 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DT19_dT;Сработка 3СС1-ДТ19 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DT12_T1;Сработка 3СС1-ДТ12 температура в Санузле №1 30 гр.Ц.
;BI23_3SS1_DT12_T2;Сработка 3СС1-ДТ12 температура в Санузле №1 70 гр.Ц.
;BI23_3SS1_DT12_dT;Сработка 3СС1-ДТ12 изменение температуры в Санузле №1 10 гр.Ц. в мин.
;BI23_3SS1_DF5_f;Сработка 3СС1-ДФ5 дым в Шахте ГАС №1 15%
;BI23_3SS1_DT6_T1;Сработка 3СС1-ДТ6 температура в Пом. обор. сис. прес. воды 30 гр.Ц.
;BI23_3SS1_DT6_T2;Сработка 3СС1-ДТ6 температура в Пом. обор. сис. прес. воды 70 гр.Ц.
;BI23_3SS1_DT6_dT;Сработка 3СС1-ДТ6 изменение температуры в Пом. обор. сис. прес. воды 10 гр.Ц. в мин.
;BI23_3SS1_DT7_T1;Сработка 3СС1-ДТ7 температура в Пом. обор. сис. прес. воды 30 гр.Ц.
;BI23_3SS1_DT7_T2;Сработка 3СС1-ДТ7 температура в Пом. обор. сис. прес. воды 70 гр.Ц.
;BI23_3SS1_DT7_dT;Сработка 3СС1-ДТ7 изменение температуры в Пом. обор. сис. прес. воды 10 гр.Ц. в мин.
;BI23_3SS1_DT8_T1;Сработка 3СС1-ДТ8 температура в Пом. обор. сис. прес. воды 30 гр.Ц.
;BI23_3SS1_DT8_T2;Сработка 3СС1-ДТ8 температура в Пом. обор. сис. прес. воды 70 гр.Ц.
;BI23_3SS1_DT8_dT;Сработка 3СС1-ДТ8 изменение температуры в Пом. обор. сис. прес. воды 10 гр.Ц. в мин.
;BI23_3SS1_DF3_f;Сработка 3СС1-ДФ3 дым в Пом. обор. сис. прес. воды 15%.
;BI23_3SS1_DF4_f;Сработка 3СС1-ДФ4 дым в Пом. обор. сис. прес. воды 15%.
;BI23_3SS1_DT3_T1;Сработка 3СС1-ДТ3 температура в Аппаратной гидроакус. 30 гр.Ц.
;BI23_3SS1_DT3_T2;Сработка 3СС1-ДТ3 температура в Аппаратной гидроакус. 70 гр.Ц.
;BI23_3SS1_DT3_dT;Сработка 3СС1-ДТ3 изменение температуры в Аппаратной гидроакус. 10 гр.Ц. в мин.
;BI23_3SS1_DT4_T1;Сработка 3СС1-ДТ4 температура в Аппаратной гидроакус. 30 гр.Ц.
;BI23_3SS1_DT4_T2;Сработка 3СС1-ДТ4 температура в Аппаратной гидроакус. 70 гр.Ц.
;BI23_3SS1_DT4_dT;Сработка 3СС1-ДТ4 изменение температуры в Аппаратной гидроакус. 10 гр.Ц. в мин.
;BI23_3SS1_DT1_T1;Сработка 3СС1-ДТ1 температура в Агрегатная ПОУ ГАС 30 гр.Ц.
;BI23_3SS1_DT1_T2;Сработка 3СС1-ДТ1 температура в Агрегатная ПОУ ГАС 70 гр.Ц.
;BI23_3SS1_DT1_dT;Сработка 3СС1-ДТ1 изменение температуры в Агрегатная ПОУ ГАС 10 гр.Ц. в мин.
;BI23_3SS1_DK1_T;Сработка 3СС1-ДК1 температура в Химической кладовой 70 гр.Ц.
;BI23_3SS1_DK1_dT;Сработка 3СС1-ДК1 изменение температуры в Химической кладовой 10 гр.Ц. в мин.
;BI23_3SS1_DK1_f;Сработка 3СС1-ДК1 дым в Химической кладовой 15%
;BI23_3SS1_DT9_T1;Сработка 3СС1-ДТ9 температура в Гиропосту 30 гр.Ц.
;BI23_3SS1_DT9_T2;Сработка 3СС1-ДТ9 температура в Гиропосту 70 гр.Ц.
;BI23_3SS1_DT9_dT;Сработка 3СС1-ДТ9 изменение температуры в Гиропосту 10 гр.Ц. в мин.
